event_id,image_id,timestamp,event_type,score,severity,explanation,action_hint,rule_used
evt_5ea2daa167,img_a6afc383af,2026-06-10T09:19:01,IMAGE_QUALITY_OK,87.6,NORMAL,"Brightness=87.6, blur_score=444.3. Image quality is acceptable.",Image is ready to be passed to Lab 7 object detection.,brightness 60-210 AND blur_score >= 80
evt_313670f35e,img_a4fc5eefec,2026-06-10T09:19:01,IMAGE_QUALITY_OK,87.6,NORMAL,"Brightness=87.6, blur_score=444.3. Image quality is acceptable.",Image is ready to be passed to Lab 7 object detection.,brightness 60-210 AND blur_score >= 80
evt_6f378195b5,img_f615cf9334,2026-06-10T09:19:01,IMAGE_QUALITY_OK,87.6,NORMAL,"Brightness=87.6, blur_score=444.3. Image quality is acceptable.",Image is ready to be passed to Lab 7 object detection.,brightness 60-210 AND blur_score >= 80
evt_bafe86b902,img_26518394f3,2026-06-10T09:19:01,IMAGE_QUALITY_OK,87.6,NORMAL,"Brightness=87.6, blur_score=444.3. Image quality is acceptable.",Image is ready to be passed to Lab 7 object detection.,brightness 60-210 AND blur_score >= 80
evt_f41e5c3508,img_05515104ad,2026-06-10T09:19:01,IMAGE_QUALITY_OK,87.6,NORMAL,"Brightness=87.6, blur_score=444.3. Image quality is acceptable.",Image is ready to be passed to Lab 7 object detection.,brightness 60-210 AND blur_score >= 80
evt_62db2b05d5,img_7052c87a8a,2026-06-10T09:19:01,IMAGE_QUALITY_OK,87.6,NORMAL,"Brightness=87.6, blur_score=444.3. Image quality is acceptable.",Image is ready to be passed to Lab 7 object detection.,brightness 60-210 AND blur_score >= 80
evt_d44834924a,img_9387baab6f,2026-06-10T09:19:01,IMAGE_QUALITY_OK,87.6,NORMAL,"Brightness=87.6, blur_score=444.3. Image quality is acceptable.",Image is ready to be passed to Lab 7 object detection.,brightness 60-210 AND blur_score >= 80
evt_55df73f933,img_615fe2f717,2026-06-10T09:19:01,IMAGE_QUALITY_OK,87.6,NORMAL,"Brightness=87.6, blur_score=444.3. Image quality is acceptable.",Image is ready to be passed to Lab 7 object detection.,brightness 60-210 AND blur_score >= 80
evt_d14456e262,img_2309d6c67c,2026-06-10T09:19:04,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_152f7587a9,img_b7b37604e0,2026-06-10T09:19:04,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_6ed98a1213,img_49191ec270,2026-06-10T09:19:04,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_88116de1d5,img_f5796f001b,2026-06-10T09:19:04,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_ebadfe4d95,img_36e32c2e2a,2026-06-10T09:19:04,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_84221d6acc,img_c06bd35b45,2026-06-10T09:19:04,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_e870b4ff3d,img_0f9bbc6489,2026-06-10T09:19:04,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_a4a349c6f6,img_195148a634,2026-06-10T09:19:04,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_faaab72b7a,img_ac15a49325,2026-06-10T09:19:04,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_c9a0b6ec85,img_2efd924db4,2026-06-10T09:19:04,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_90bdaf7eb8,img_18919d8ca3,2026-06-10T09:19:05,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_50746c9d17,img_053e1b11ba,2026-06-10T09:19:05,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_a9cdc0c09f,img_d4641450b7,2026-06-10T09:19:05,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_656387a27f,img_5cedc1a482,2026-06-10T09:19:05,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_31fad83003,img_6afe4f3e46,2026-06-10T09:19:05,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_4d6307b977,img_108c063106,2026-06-10T09:19:05,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_448af53783,img_9eed10339e,2026-06-10T09:19:05,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_c1e7c72c22,img_360adb391f,2026-06-10T09:19:05,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_fed74ab08c,img_375f7b9315,2026-06-10T09:19:05,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_3aa652a8ba,img_e0e991456e,2026-06-10T09:19:05,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_dba9bf6401,img_bd172b3929,2026-06-10T09:19:05,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_4b93b50da1,img_9388d3e84b,2026-06-10T09:19:27,BLURRY_IMAGE,145.37,WARNING,Blur score (Laplacian variance)=69.9 < 80. Image is not sharp enough.,"Stabilise the camera, clean the lens, or increase focus distance.",blur_score < 80
evt_471ac42d81,img_9388d3e84b,2026-06-10T09:19:27,MOTION_DETECTED,52186.0,WARNING,Motion score 52186 >= min_area 800.,Review captured image.,"diff_threshold=25, min_area=800, cooldown=1.0s"
evt_6342c77d12,img_960897648e,2026-06-10T09:21:19,LOW_LIGHT,51.51,WARNING,Brightness=51.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
